number,date,time,gender,age,accuracy,nationality1,accuracy,nationality2,accuracy,nationality3,accuracy,direction
26,2024年10月30日,0:25,0,83,0.14,1,0.04,0,0.98,0,0.21,0.97
27,2024年10月30日,0:25,1,86,0.93,0,0.93,1,0.82,0,0.85,0.94
28,2024年10月30日,0:26,0,92,0.17,1,0.05,0,0.88,0,0.81,0.80
29,2024年10月30日,0:27,1,68,0.02,1,0.22,0,0.80,0,0.52,0.00
30,2024年10月30日,0:27,0,99,0.31,0,0.48,1,0.52,1,0.59,0.32
31,2024年10月30日,0:29,1,50,0.99,0,0.63,1,0.93,0,0.10,0.31
32,2024年10月30日,0:31,1,35,0.29,1,0.90,0,0.04,1,0.08,0.01
33,2024年10月30日,0:31,1,63,0.67,0,0.59,1,0.10,0,0.87,0.74
34,2024年10月30日,0:33,1,11,0.70,0,0.05,1,0.31,0,0.40,0.42
35,2024年10月30日,0:33,1,34,0.89,0,0.79,1,0.24,0,0.28,0.02
36,2024年10月30日,0:34,1,54,0.55,0,0.30,1,0.58,1,0.72,0.93
37,2024年10月30日,0:35,1,37,0.14,1,0.50,0,0.05,0,0.13,0.17
38,2024年10月30日,0:37,1,52,0.15,1,0.32,0,0.39,0,0.01,0.88
39,2024年10月30日,0:38,1,9,0.46,0,0.87,1,0.88,1,0.58,0.72
40,2024年10月30日,0:38,0,4,0.16,1,0.92,0,0.62,0,0.69,0.78
41,2024年10月30日,0:38,1,92,0.63,0,0.82,1,0.55,1,0.25,0.67
42,2024年10月30日,0:38,1,92,0.88,0,0.18,1,0.81,1,0.33,0.53
43,2024年10月30日,0:41,0,40,0.08,1,0.68,0,0.47,1,0.13,0.91
44,2024年10月30日,0:42,0,30,0.38,0,0.10,1,0.36,0,0.36,0.17
45,2024年10月30日,0:42,0,59,0.26,1,0.70,0,0.25,1,0.68,0.14
46,2024年10月30日,0:43,1,61,0.95,0,0.85,1,0.29,0,0.84,0.40
47,2024年10月30日,0:46,0,83,0.88,0,0.26,1,0.89,1,0.68,0.18
48,2024年10月30日,0:47,1,10,0.37,0,0.53,1,0.11,1,0.57,0.69
49,2024年10月30日,0:47,0,5,0.54,0,0.70,1,0.55,0,0.07,0.44
50,2024年10月30日,0:50,0,45,0.76,0,0.72,1,0.42,0,0.43,0.33
51,2024年10月30日,0:50,1,48,0.91,0,0.42,1,0.73,0,0.02,0.41
52,2024年10月30日,0:51,0,63,0.11,1,0.09,0,0.39,1,0.59,0.07
53,2024年10月30日,0:52,0,30,0.96,0,0.49,1,0.87,0,0.53,0.96
54,2024年10月30日,0:52,0,43,0.18,1,0.32,0,0.13,0,0.98,0.22
55,2024年10月30日,0:53,1,73,0.72,0,0.75,1,0.02,0,0.80,0.33
56,2024年10月30日,0:53,1,78,0.94,0,0.74,1,0.31,0,0.78,0.57
57,2024年10月30日,0:53,1,65,0.47,0,0.69,1,0.35,1,0.60,0.57
58,2024年10月30日,0:54,0,65,0.78,0,0.22,1,0.08,0,0.77,0.79
59,2024年10月30日,0:54,0,51,0.43,0,0.69,1,0.56,1,0.40,0.88
60,2024年10月30日,0:54,0,0,0.08,1,0.95,0,0.79,1,0.37,0.12
61,2024年10月30日,0:56,0,32,0.79,0,0.91,1,0.81,0,0.57,0.74
62,2024年10月30日,0:56,1,47,0.99,0,0.41,1,0.65,0,0.83,0.23
63,2024年10月30日,0:59,0,12,0.44,0,0.20,1,0.37,1,0.40,0.69
64,2024年10月30日,0:59,0,7,0.76,0,0.45,1,0.66,1,0.19,0.57
65,2024年10月30日,1:00,1,23,0.09,1,0.45,0,0.25,0,0.37,0.44
66,2024年10月30日,1:01,1,47,0.51,0,0.52,1,0.30,1,0.52,0.91
67,2024年10月30日,1:01,0,3,0.85,0,0.94,1,0.20,1,0.10,0.20
68,2024年10月30日,1:01,0,3,0.46,0,0.73,1,0.74,0,0.87,0.57
69,2024年10月30日,1:01,1,69,0.11,1,0.78,0,0.99,0,0.47,0.38
70,2024年10月30日,1:03,0,60,0.47,0,0.21,1,0.52,1,0.64,0.23
71,2024年10月30日,1:03,0,41,0.70,0,0.06,1,0.55,1,0.37,0.79
72,2024年10月30日,1:03,0,50,0.01,1,0.78,0,0.80,0,0.49,0.91
73,2024年10月30日,1:03,1,55,0.85,0,0.93,1,0.41,1,0.46,0.69
74,2024年10月30日,1:04,1,58,0.75,0,0.93,1,0.49,0,0.54,0.31
75,2024年10月30日,1:04,1,80,0.07,1,0.80,0,0.38,0,0.49,0.08
76,2024年10月30日,1:04,1,57,0.66,0,0.94,1,0.52,1,0.87,0.15
77,2024年10月30日,1:06,0,16,0.85,0,0.26,1,0.14,0,0.15,0.39
78,2024年10月30日,1:07,0,82,0.77,0,0.42,1,0.47,1,0.74,0.21
79,2024年10月30日,1:07,1,87,0.37,0,0.30,1,0.86,0,0.12,0.86
80,2024年10月30日,1:10,1,74,0.34,0,0.91,1,0.99,0,0.51,0.07
81,2024年10月30日,1:11,1,87,0.04,1,0.58,0,0.40,0,0.05,0.67
82,2024年10月30日,1:11,1,29,0.54,0,0.71,1,0.96,0,0.79,0.70
83,2024年10月30日,1:11,1,46,0.46,0,0.89,1,0.94,1,0.21,0.39
84,2024年10月30日,1:11,1,82,0.71,0,0.03,1,0.19,1,0.46,0.38
85,2024年10月30日,1:12,0,33,0.69,0,0.42,1,0.64,0,0.51,0.38
86,2024年10月30日,1:13,1,83,0.95,0,0.31,1,0.28,1,0.35,0.40
87,2024年10月30日,1:13,0,4,0.26,1,0.63,0,0.80,1,0.71,0.10
88,2024年10月30日,1:14,0,85,0.85,0,0.98,1,0.55,1,0.65,0.14
89,2024年10月30日,1:17,0,67,0.85,0,0.81,1,0.03,0,0.05,0.40
90,2024年10月30日,1:18,0,15,0.45,0,0.26,1,0.56,0,0.37,0.75
91,2024年10月30日,1:18,0,8,0.88,0,0.83,1,0.93,1,0.24,0.42
92,2024年10月30日,1:18,1,63,0.69,0,0.91,1,0.85,0,0.99,0.27
93,2024年10月30日,1:18,1,2,0.98,0,0.23,1,0.87,0,0.63,0.43
94,2024年10月30日,1:21,1,39,0.49,0,0.70,1,0.21,1,0.14,0.30
95,2024年10月30日,1:21,0,5,0.27,1,0.78,0,0.65,1,0.33,0.87
96,2024年10月30日,1:21,1,15,0.18,1,0.62,0,0.18,0,0.27,0.95
97,2024年10月30日,1:23,0,86,0.49,0,0.23,1,0.15,0,0.54,0.64
98,2024年10月30日,1:23,0,8,0.72,0,0.22,1,0.84,1,0.13,0.31
99,2024年10月30日,1:24,0,30,0.61,0,0.22,1,0.16,0,0.62,0.71
100,2024年10月30日,1:24,0,4,0.35,0,0.74,1,0.68,0,0.02,0.25
101,2024年10月30日,1:25,0,47,0.85,0,0.34,1,0.48,1,0.96,0.94
102,2024年10月30日,1:25,0,29,0.88,0,0.03,1,0.82,0,1.00,0.11
103,2024年10月30日,1:26,1,44,0.35,0,0.25,1,0.56,1,0.23,0.11
104,2024年10月30日,1:26,1,14,0.68,0,0.14,1,0.18,0,0.74,0.80
105,2024年10月30日,1:26,0,12,0.53,0,0.08,1,0.18,0,0.60,0.20
106,2024年10月30日,1:29,0,80,0.82,0,0.30,1,0.37,0,0.93,0.92
107,2024年10月30日,1:29,0,82,0.19,1,0.03,0,0.53,0,0.55,0.54
108,2024年10月30日,1:30,0,32,0.47,0,0.54,1,0.95,0,0.94,0.83
109,2024年10月30日,1:30,0,46,0.09,1,0.30,0,0.54,0,0.76,0.55
110,2024年10月30日,1:30,0,69,0.72,0,0.25,1,0.93,0,0.21,0.98
111,2024年10月30日,1:31,1,1,0.13,1,0.04,0,0.97,0,0.63,0.86
112,2024年10月30日,1:31,0,48,0.17,1,0.43,0,0.94,0,0.33,0.12
113,2024年10月30日,1:32,1,99,0.94,0,0.62,1,0.21,0,0.79,0.97
114,2024年10月30日,1:32,1,27,0.79,0,0.47,1,0.36,1,0.29,0.43
115,2024年10月30日,1:32,1,79,0.19,1,0.49,0,0.92,0,0.01,0.57
116,2024年10月30日,1:32,1,81,0.54,0,0.87,1,0.34,0,0.11,0.63
117,2024年10月30日,1:32,1,95,0.91,0,0.28,1,0.17,0,0.82,0.37
118,2024年10月30日,1:33,1,61,0.73,0,0.94,1,0.14,0,0.44,0.92
119,2024年10月30日,1:34,1,2,0.02,1,0.45,0,0.27,0,0.45,0.74
120,2024年10月30日,1:35,0,42,0.19,1,0.78,0,0.01,0,0.59,0.15
121,2024年10月30日,1:35,0,86,0.63,0,0.43,1,0.65,1,0.30,0.61
122,2024年10月30日,1:35,0,95,0.44,0,0.51,1,0.72,0,0.07,0.59
123,2024年10月30日,1:36,0,54,0.34,0,0.08,1,0.42,0,0.03,0.51
124,2024年10月30日,1:37,1,4,0.36,0,0.28,1,0.95,0,0.12,0.24
125,2024年10月30日,1:37,1,23,0.71,0,0.24,1,0.96,0,0.70,0.07
126,2024年10月30日,1:37,0,89,0.59,0,0.98,1,0.26,1,0.76,0.57
127,2024年10月30日,1:38,1,73,0.03,1,0.87,0,0.11,0,0.09,0.28
128,2024年10月30日,1:38,1,30,0.96,0,0.43,1,0.64,0,0.38,0.68
129,2024年10月30日,1:39,0,45,0.84,0,0.08,1,0.87,1,0.45,1.00
130,2024年10月30日,1:40,0,30,0.58,0,0.02,1,0.48,1,0.60,0.89
131,2024年10月30日,1:40,1,64,0.41,0,0.51,1,0.40,0,0.11,0.33
132,2024年10月30日,1:40,1,43,0.57,0,0.28,1,0.86,0,0.53,0.97
133,2024年10月30日,1:40,1,66,0.33,0,0.98,1,0.58,1,0.01,0.27
134,2024年10月30日,1:41,0,57,0.46,0,0.59,1,0.90,0,0.71,0.86
135,2024年10月30日,1:41,0,66,0.51,0,0.58,1,0.39,0,0.54,0.14
136,2024年10月30日,1:41,1,28,0.57,0,0.01,1,0.90,1,0.36,0.76
137,2024年10月30日,1:42,1,82,0.14,1,0.18,0,0.75,1,0.95,0.01
138,2024年10月30日,1:42,1,5,0.61,0,0.07,1,0.89,0,0.15,0.17
139,2024年10月30日,1:42,0,58,0.33,0,0.35,1,0.02,0,0.95,0.57
140,2024年10月30日,1:43,0,48,0.14,1,0.99,0,0.67,0,0.05,0.58
141,2024年10月30日,1:43,1,79,0.97,0,0.88,1,0.74,0,0.84,0.90
142,2024年10月30日,1:44,0,71,0.18,1,0.60,0,0.34,0,0.24,0.09
143,2024年10月30日,1:45,0,33,0.26,1,0.35,0,0.64,1,0.16,0.63
144,2024年10月30日,1:45,1,19,0.42,0,0.75,1,0.78,0,0.37,0.85
145,2024年10月30日,1:45,1,32,0.12,1,0.44,0,0.26,1,0.61,0.99
146,2024年10月30日,1:45,1,93,0.36,0,0.58,1,0.61,0,0.73,0.06
147,2024年10月30日,1:45,0,7,0.14,1,0.98,0,0.56,1,0.75,0.51
148,2024年10月30日,1:45,0,65,0.49,0,0.91,1,0.27,0,0.32,0.72
149,2024年10月30日,1:47,0,53,0.99,0,0.83,1,0.15,1,0.37,0.99
150,2024年10月30日,1:48,1,47,0.04,1,0.42,0,0.81,1,0.12,0.44
151,2024年10月30日,1:49,1,8,1.00,0,0.21,1,0.53,0,0.85,0.28
152,2024年10月30日,1:49,1,60,0.32,0,0.95,1,0.05,0,0.40,0.50
153,2024年10月30日,1:50,0,46,0.50,0,0.59,1,0.86,0,0.51,0.20
154,2024年10月30日,1:50,1,5,0.97,0,0.99,1,0.97,0,0.15,0.30
155,2024年10月30日,1:51,0,10,0.56,0,1.00,1,0.42,0,0.08,0.32
156,2024年10月30日,1:52,0,69,0.44,0,0.31,1,0.75,1,0.36,0.14
157,2024年10月30日,1:52,1,30,0.99,0,0.23,1,0.56,1,0.40,0.10
158,2024年10月30日,1:54,1,77,0.08,1,0.07,0,0.05,1,0.47,0.72
159,2024年10月30日,1:54,1,80,0.03,1,0.27,0,0.86,0,0.77,0.81
160,2024年10月30日,1:54,0,94,0.29,1,0.61,0,0.36,0,0.57,0.35
161,2024年10月30日,1:56,1,12,0.10,1,0.39,0,0.68,0,0.45,0.22
162,2024年10月30日,1:56,0,81,0.16,1,0.20,0,0.15,1,0.76,0.84
163,2024年10月30日,1:58,0,90,0.10,1,0.13,0,0.67,0,0.58,0.75
164,2024年10月30日,1:58,1,28,0.17,1,0.94,0,0.03,0,0.54,0.52
165,2024年10月30日,1:58,1,54,0.32,0,0.36,1,0.77,1,0.81,0.17
166,2024年10月30日,1:58,0,43,0.31,0,0.89,1,0.50,0,0.09,0.50
167,2024年10月30日,1:59,1,13,1.00,0,0.36,1,0.93,1,0.77,0.86
168,2024年10月30日,1:59,1,70,0.57,0,0.36,1,0.68,1,0.55,0.04
169,2024年10月30日,2:00,1,73,0.58,0,0.55,1,0.42,1,0.96,0.28
170,2024年10月30日,2:01,0,100,0.85,0,0.68,1,0.23,0,0.51,0.39
171,2024年10月30日,2:03,1,75,0.33,0,0.34,1,0.68,1,0.99,0.30
172,2024年10月30日,2:03,1,80,0.05,1,0.56,0,0.21,1,0.20,0.74
173,2024年10月30日,2:05,0,39,0.52,0,0.29,1,0.91,0,0.65,0.55
174,2024年10月30日,2:06,1,57,0.72,0,0.52,1,0.65,1,0.30,0.68
175,2024年10月30日,2:06,0,61,0.60,0,0.98,1,0.46,1,0.65,0.30
176,2024年10月30日,2:08,0,68,0.53,0,0.81,1,0.06,1,0.26,0.28
177,2024年10月30日,2:08,1,22,0.59,0,0.87,1,0.61,0,0.50,0.27
178,2024年10月30日,2:08,1,26,0.67,0,0.36,1,0.80,1,0.44,0.48
179,2024年10月30日,2:09,0,88,0.29,1,0.48,0,0.76,1,0.99,0.88
180,2024年10月30日,2:11,1,44,0.68,0,0.98,1,0.76,1,0.69,0.77
181,2024年10月30日,2:11,0,39,0.42,0,0.41,1,0.25,0,0.94,0.63
182,2024年10月30日,2:12,0,30,0.63,0,0.02,1,0.62,0,0.86,0.08
183,2024年10月30日,2:14,0,29,0.31,0,0.65,1,0.20,0,0.21,0.96
184,2024年10月30日,2:15,1,26,0.31,0,0.42,1,0.77,0,0.19,0.33
185,2024年10月30日,2:15,1,10,0.71,0,0.21,1,0.12,1,0.14,0.11
186,2024年10月30日,2:15,0,99,0.37,0,0.80,1,0.55,0,0.96,0.37
187,2024年10月30日,2:16,1,27,0.40,0,0.64,1,0.91,0,0.02,0.82
188,2024年10月30日,2:16,1,51,0.22,1,0.12,0,0.62,1,0.13,0.17
189,2024年10月30日,2:17,0,78,0.75,0,0.47,1,0.13,0,0.27,0.38
190,2024年10月30日,2:18,1,29,0.86,0,0.96,1,0.45,0,0.36,0.37
191,2024年10月30日,2:18,0,32,0.04,1,0.93,0,0.19,0,0.02,0.62
192,2024年10月30日,2:20,0,84,1.00,0,0.04,1,0.37,0,0.24,0.94
193,2024年10月30日,2:21,1,75,0.79,0,0.44,1,0.62,1,0.25,0.91
194,2024年10月30日,2:21,1,88,0.18,1,0.35,0,0.67,1,0.87,0.27
195,2024年10月30日,2:22,0,17,0.64,0,0.86,1,0.53,1,0.82,0.93
196,2024年10月30日,2:24,0,69,0.83,0,0.18,1,0.89,1,0.37,0.07
197,2024年10月30日,2:24,0,87,0.33,0,0.42,1,0.63,1,0.21,0.43
198,2024年10月30日,2:24,1,4,0.27,1,0.47,0,0.96,1,0.80,0.96
199,2024年10月30日,2:25,1,100,0.07,1,0.97,0,0.02,0,0.12,0.49
200,2024年10月30日,2:25,0,85,0.24,1,0.33,0,0.73,0,0.08,0.84
201,2024年10月30日,2:26,1,38,0.96,0,0.71,1,0.53,0,0.93,0.83
202,2024年10月30日,2:26,1,5,0.46,0,0.19,1,0.77,0,0.95,0.22
203,2024年10月30日,2:26,1,42,0.15,1,0.80,0,0.30,1,0.85,0.62
204,2024年10月30日,2:27,0,92,0.42,0,0.75,1,0.62,0,0.59,0.27
205,2024年10月30日,2:30,0,17,0.90,0,0.36,1,0.04,1,0.81,0.13
206,2024年10月30日,2:30,1,53,0.42,0,0.48,1,0.44,0,0.27,0.61
207,2024年10月30日,2:31,0,97,0.06,1,0.66,0,0.69,0,0.35,0.12
208,2024年10月30日,2:32,1,56,0.04,1,0.10,0,0.83,0,0.82,0.84
209,2024年10月30日,2:33,1,51,0.84,0,0.86,1,0.35,0,0.45,0.60
210,2024年10月30日,2:33,0,29,0.79,0,0.83,1,0.30,1,0.17,0.97
211,2024年10月30日,2:33,0,94,0.53,0,0.34,1,0.69,0,0.64,0.67
212,2024年10月30日,2:34,1,76,0.39,0,0.35,1,0.39,0,0.61,0.47
213,2024年10月30日,2:35,0,51,0.55,0,0.17,1,0.93,0,0.96,0.40
214,2024年10月30日,2:35,0,10,0.56,0,0.28,1,0.60,0,0.88,0.49
215,2024年10月30日,2:36,0,90,0.15,1,0.23,0,0.97,0,0.26,0.16
216,2024年10月30日,2:37,1,52,0.73,0,0.26,1,0.23,0,0.84,0.08
217,2024年10月30日,2:38,1,80,0.75,0,0.12,1,0.69,0,0.92,0.68
218,2024年10月30日,2:38,0,38,0.89,0,0.23,1,0.99,1,0.18,0.65
219,2024年10月30日,2:40,0,30,0.47,0,0.61,1,0.45,0,0.17,0.44
220,2024年10月30日,2:41,0,41,0.16,1,0.02,0,0.85,1,0.13,0.60
221,2024年10月30日,2:43,0,20,0.84,0,0.94,1,0.04,0,0.48,0.62
222,2024年10月30日,2:43,0,42,0.29,1,0.04,0,0.64,0,0.58,0.97
223,2024年10月30日,2:44,1,43,0.22,1,0.16,0,0.72,0,0.44,0.87
224,2024年10月30日,2:44,1,73,0.89,0,0.44,1,0.74,1,0.40,0.94
225,2024年10月30日,2:45,1,75,0.75,0,0.48,1,0.06,0,0.82,0.29
226,2024年10月30日,2:46,1,49,0.17,1,0.82,0,0.48,0,0.65,0.41
227,2024年10月30日,2:47,1,69,0.77,0,0.13,1,0.50,0,0.07,0.43
228,2024年10月30日,2:47,0,16,0.02,1,0.28,0,0.52,0,0.28,0.61
229,2024年10月30日,2:48,0,2,0.85,0,0.34,1,0.10,1,0.39,0.43
230,2024年10月30日,2:49,1,80,0.14,1,1.00,0,0.55,0,0.62,0.48
231,2024年10月30日,2:50,0,15,0.35,0,0.70,1,0.88,0,0.66,0.55
232,2024年10月30日,2:50,1,78,0.34,0,0.01,1,0.66,0,0.45,0.25
233,2024年10月30日,2:50,1,57,0.32,0,0.88,1,0.67,0,0.36,0.85
234,2024年10月30日,2:50,0,71,0.40,0,0.59,1,0.76,1,0.16,0.85
235,2024年10月30日,2:51,0,11,0.86,0,0.05,1,0.86,0,0.09,0.78
236,2024年10月30日,2:51,0,89,0.90,0,0.08,1,0.56,1,0.14,0.41
237,2024年10月30日,2:51,0,75,0.47,0,0.01,1,0.47,1,0.46,0.41
238,2024年10月30日,2:51,0,61,0.10,1,0.02,0,0.56,1,0.18,0.28
239,2024年10月30日,2:52,1,87,0.97,0,0.36,1,0.67,0,0.34,0.50
240,2024年10月30日,2:53,0,29,0.32,0,0.65,1,0.55,0,0.18,0.16
241,2024年10月30日,2:53,1,38,0.07,1,0.57,0,0.94,1,0.26,0.99
242,2024年10月30日,2:54,0,19,0.59,0,0.14,1,0.86,0,0.05,0.11
243,2024年10月30日,2:55,0,96,0.34,0,0.51,1,0.25,0,0.49,0.30
244,2024年10月30日,2:56,0,88,0.28,1,0.80,0,0.29,0,0.55,0.90
245,2024年10月30日,2:57,1,98,0.44,0,0.57,1,0.80,1,0.56,0.49
246,2024年10月30日,2:57,0,19,0.70,0,0.27,1,0.64,1,0.08,0.07
247,2024年10月30日,2:58,1,35,0.06,1,0.86,0,0.60,1,0.70,0.51
248,2024年10月30日,2:58,1,4,0.08,1,0.84,0,0.61,1,0.74,0.75
249,2024年10月30日,2:58,0,95,0.16,1,0.31,0,0.42,0,0.59,0.86
250,2024年10月30日,2:59,1,19,0.50,0,0.56,1,0.35,0,0.03,0.95
251,2024年10月30日,3:01,1,68,0.21,1,0.51,0,0.48,1,0.07,0.04
252,2024年10月30日,3:02,1,17,0.25,1,0.09,0,0.33,1,0.74,0.84
253,2024年10月30日,3:03,0,18,0.70,0,0.99,1,0.38,0,0.47,0.70
254,2024年10月30日,3:03,0,87,0.35,0,0.54,1,0.29,0,0.38,0.06
255,2024年10月30日,3:04,0,31,0.06,1,0.46,0,0.39,0,0.67,0.50
256,2024年10月30日,3:04,1,6,0.18,1,0.30,0,0.86,1,0.70,0.53
257,2024年10月30日,3:04,1,79,0.32,0,0.09,1,0.66,0,0.17,0.58
258,2024年10月30日,3:04,0,68,0.63,0,0.27,1,0.69,0,0.61,0.85
259,2024年10月30日,3:05,1,43,0.63,0,0.88,1,0.96,0,0.93,0.13
260,2024年10月30日,3:06,1,77,0.25,1,0.78,0,1.00,0,0.40,0.12
261,2024年10月30日,3:06,1,97,0.59,0,0.13,1,0.71,1,0.14,0.48
262,2024年10月30日,3:06,0,25,0.09,1,0.31,0,0.57,1,0.41,0.40
263,2024年10月30日,3:08,0,93,0.60,0,0.22,1,0.07,1,0.88,0.21
264,2024年10月30日,3:08,1,47,0.49,0,0.56,1,0.58,1,0.23,0.14
265,2024年10月30日,3:08,1,1,0.83,0,0.79,1,0.92,0,0.65,0.99
266,2024年10月30日,3:09,0,85,0.74,0,0.96,1,0.78,0,0.80,0.72
267,2024年10月30日,3:10,0,59,0.83,0,0.34,1,0.33,1,0.01,0.47
268,2024年10月30日,3:11,0,98,0.20,1,0.54,0,0.02,0,0.19,0.76
269,2024年10月30日,3:12,1,64,0.11,1,0.13,0,0.88,0,0.67,0.86
270,2024年10月30日,3:13,0,81,0.70,0,0.29,1,0.92,0,0.95,0.72
271,2024年10月30日,3:13,1,12,0.11,1,0.61,0,0.56,1,0.90,0.06
272,2024年10月30日,3:13,1,86,0.37,0,0.71,1,0.67,1,0.87,0.07
273,2024年10月30日,3:15,1,18,0.10,1,0.93,0,0.69,0,0.14,0.14
274,2024年10月30日,3:16,0,23,0.04,1,0.62,0,0.25,1,0.66,0.95
275,2024年10月30日,3:16,1,50,0.67,0,0.86,1,0.71,1,0.32,0.39
276,2024年10月30日,3:18,0,10,0.73,0,0.79,1,0.24,0,0.07,0.20
277,2024年10月30日,3:19,0,38,0.10,1,0.28,0,0.41,1,0.10,0.55
278,2024年10月30日,3:19,1,59,1.00,0,0.82,1,0.91,1,0.12,0.08
279,2024年10月30日,3:21,1,64,0.06,1,0.84,0,0.68,0,0.26,0.14
280,2024年10月30日,3:22,1,44,0.20,1,0.02,0,0.11,0,0.91,0.31
281,2024年10月30日,3:22,0,45,0.42,0,0.54,1,0.40,1,0.61,0.52
282,2024年10月30日,3:22,1,94,0.89,0,0.81,1,0.89,0,0.71,0.90
283,2024年10月30日,3:24,1,40,0.52,0,0.74,1,0.18,0,0.54,0.23
284,2024年10月30日,3:25,0,32,0.63,0,0.70,1,0.65,0,0.95,0.98
285,2024年10月30日,3:25,0,43,0.70,0,0.26,1,0.89,0,0.35,0.90
286,2024年10月30日,3:25,0,20,0.56,0,0.93,1,0.67,0,0.18,0.94
287,2024年10月30日,3:25,1,14,0.25,1,0.63,0,0.13,1,0.13,0.63
288,2024年10月30日,3:25,1,28,0.32,0,0.85,1,0.15,0,0.70,0.82
289,2024年10月30日,3:26,1,50,0.46,0,0.23,1,0.47,0,0.33,0.42
290,2024年10月30日,3:27,0,50,0.26,1,0.47,0,0.09,0,0.83,0.52
291,2024年10月30日,3:28,1,21,0.34,0,0.11,1,0.28,0,0.51,1.00
292,2024年10月30日,3:29,0,66,0.52,0,0.27,1,0.86,1,0.85,0.04
293,2024年10月30日,3:30,0,96,0.53,0,0.89,1,0.60,1,0.38,0.82
294,2024年10月30日,3:31,0,49,0.15,1,0.41,0,0.10,1,0.77,0.44
295,2024年10月30日,3:31,1,45,0.02,1,0.62,0,0.19,1,0.79,0.39
296,2024年10月30日,3:31,0,63,0.94,0,0.57,1,0.65,0,0.16,0.69
297,2024年10月30日,3:31,1,57,0.79,0,0.31,1,0.53,0,0.25,0.09
298,2024年10月30日,3:33,0,23,0.60,0,0.72,1,0.37,0,0.41,0.64
299,2024年10月30日,3:36,1,64,0.94,0,0.77,1,0.77,1,0.15,0.71
300,2024年10月30日,3:36,1,98,0.14,1,0.17,0,0.31,1,0.84,0.81
301,2024年10月30日,3:37,0,26,0.95,0,0.85,1,0.70,1,0.93,0.16
302,2024年10月30日,3:39,1,76,0.74,0,0.77,1,0.73,0,0.47,0.64
303,2024年10月30日,3:39,1,0,0.19,1,0.43,0,0.49,0,0.67,0.68
304,2024年10月30日,3:39,1,75,0.61,0,0.74,1,0.10,1,0.30,0.46
305,2024年10月30日,3:39,1,66,0.39,0,0.60,1,0.81,0,0.10,0.82
306,2024年10月30日,3:40,1,31,0.61,0,0.57,1,0.96,1,0.37,0.56
307,2024年10月30日,3:41,1,30,0.65,0,0.42,1,0.72,0,0.59,0.36
308,2024年10月30日,3:42,1,50,0.92,0,0.44,1,0.50,0,0.83,0.88
309,2024年10月30日,3:42,1,46,0.83,0,0.70,1,0.07,1,0.87,0.95
310,2024年10月30日,3:46,1,54,0.47,0,0.95,1,0.94,0,0.86,0.55
311,2024年10月30日,3:46,0,3,0.95,0,0.41,1,0.47,1,0.00,0.01
312,2024年10月30日,3:46,0,83,0.86,0,0.70,1,0.02,0,0.77,0.02
313,2024年10月30日,3:47,1,89,0.87,0,0.71,1,0.92,1,0.31,0.59
314,2024年10月30日,3:47,0,7,0.26,1,0.50,0,0.55,1,0.08,0.60
315,2024年10月30日,3:48,0,0,0.55,0,0.73,1,0.28,0,0.19,0.74
